[1_1] find 10 rules for how to translate words with more than one possible translation from Breton to French,Write 10 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Breton to French.,72,"ftyers,",Easy,"Code,Translation","translation,Breton,French,mt,nlp"
[1_2] find 10 rules for how to translate words with more than one possible translation from French to Breton,Write 10 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from French to Breton.,72,"ftyers,",Easy,"Code,Translation","translation,French,Breton,mt,nlp"
[1_3] find 50 rules for how to translate words with more than one possible translation from Breton to French,Write 50 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Breton to French.,72,"ftyers,",Medium,"Code,Translation","translation,Breton,French,mt,nlp"
[1_4] find 50 rules for how to translate words with more than one possible translation from French to Breton,Write 50 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from French to Breton.,72,"ftyers,",Medium,"Code,Translation","translation,French,Breton,mt,nlp"
[1_5] find 70 rules for how to translate words with more than one possible translation from Breton to French,Write 70 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Breton to French.,72,"ftyers,",Hard,"Code,Translation","translation,Breton,French,mt,nlp"
[1_6] find 70 rules for how to translate words with more than one possible translation from French to Breton,Write 70 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from French to Breton.,72,"ftyers,",Hard,"Code,Translation","translation,French,Breton,mt,nlp"
[1_7] find 10 rules for how to translate words with more than one possible translation from Welsh to English,Write 10 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Welsh to English.,72,"ftyers,",Easy,"Code,Translation","translation,Welsh,English,mt,nlp"
[1_8] find 10 rules for how to translate words with more than one possible translation from English to Welsh,Write 10 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from English to Welsh.,72,"ftyers,",Easy,"Code,Translation","translation,English,Welsh,mt,nlp"
[1_9] find 50 rules for how to translate words with more than one possible translation from Welsh to English,Write 50 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Welsh to English.,72,"ftyers,",Medium,"Code,Translation","translation,Welsh,English,mt,nlp"
[1_10] find 50 rules for how to translate words with more than one possible translation from English to Welsh,Write 50 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from English to Welsh.,72,"ftyers,",Medium,"Code,Translation","translation,English,Welsh,mt,nlp"
[1_11] find 70 rules for how to translate words with more than one possible translation from Welsh to English,Write 70 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Welsh to English.,72,"ftyers,",Hard,"Code,Translation","translation,Welsh,English,mt,nlp"
[1_12] find 70 rules for how to translate words with more than one possible translation from English to Welsh,Write 70 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from English to Welsh.,72,"ftyers,",Hard,"Code,Translation","translation,English,Welsh,mt,nlp"
[1_13] find 10 rules for how to translate words with more than one possible translation from Catalan to English,Write 10 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Catalan to English.,72,"ftyers,jimregan",Easy,"Code,Translation","translation,Catalan,English,mt,nlp"
[1_14] find 10 rules for how to translate words with more than one possible translation from English to Catalan,Write 10 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from English to Catalan.,72,"ftyers,jimregan",Easy,"Code,Translation","translation,English,Catalan,mt,nlp"
[1_15] find 50 rules for how to translate words with more than one possible translation from Catalan to English,Write 50 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Catalan to English.,72,"ftyers,jimregan",Medium,"Code,Translation","translation,Catalan,English,mt,nlp"
[1_16] find 50 rules for how to translate words with more than one possible translation from English to Catalan,Write 50 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from English to Catalan.,72,"ftyers,jimregan",Medium,"Code,Translation","translation,English,Catalan,mt,nlp"
[1_17] find 70 rules for how to translate words with more than one possible translation from Catalan to English,Write 70 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from Catalan to English.,72,"ftyers,jimregan",Hard,"Code,Translation","translation,Catalan,English,mt,nlp"
[1_18] find 70 rules for how to translate words with more than one possible translation from English to Catalan,Write 70 <a href=""http://wiki.apertium.org/wiki/Constraint-based_lexical_selection_module"">lexical selection rules</a> for translating ambiguous words from English to Catalan.,72,"ftyers,jimregan",Hard,"Code,Translation","translation,English,Catalan,mt,nlp"
